"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2011Q1","Spain","Total","Total","Total","Geneva Convention status","Person","80"
"2011Q1","France","Total","Total","Total","Geneva Convention status","Person","870"
"2011Q1","Italy","Total","Total","Total","Geneva Convention status","Person","290"
"2011Q1","Cyprus","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q1","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q1","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q1","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q1","Hungary","Total","Total","Total","Geneva Convention status","Person","15"
"2011Q1","Malta","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q1","Netherlands","Total","Total","Total","Geneva Convention status","Person","185"
"2011Q1","Austria","Total","Total","Total","Geneva Convention status","Person","600"
"2011Q1","Poland","Total","Total","Total","Geneva Convention status","Person","35"
"2011Q1","Portugal","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q1","Romania","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q1","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q1","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q1","Finland","Total","Total","Total","Geneva Convention status","Person","55"
"2011Q1","Sweden","Total","Total","Total","Geneva Convention status","Person","470"
"2011Q1","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,360"
"2011Q1","Norway","Total","Total","Total","Geneva Convention status","Person","830"
"2011Q2","Belgium","Total","Total","Total","Geneva Convention status","Person","880"
"2011Q2","Bulgaria","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q2","Czech Republic","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q2","Denmark","Total","Total","Total","Geneva Convention status","Person","180"
"2011Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,725"
"2011Q2","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q2","Ireland","Total","Total","Total","Geneva Convention status","Person","15"
"2011Q2","Greece","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q2","Spain","Total","Total","Total","Geneva Convention status","Person","85"
"2011Q2","France","Total","Total","Total","Geneva Convention status","Person","870"
