"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2003M06","United Kingdom","Rejected","Total","Person","5,710"
"2003M06","Norway","Rejected","Total","Person","1,135"
"2003M07","Belgium","Rejected","Total","Person",":"
"2003M07","Bulgaria","Rejected","Total","Person","45"
"2003M07","Czech Republic","Rejected","Total","Person","685"
"2003M07","Denmark","Rejected","Total","Person","240"
"2003M07","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","5,690"
"2003M07","Estonia","Rejected","Total","Person","0"
"2003M07","Ireland","Rejected","Total","Person","615"
"2003M07","Greece","Rejected","Total","Person","540"
"2003M07","Spain","Rejected","Total","Person","540"
"2003M07","France","Rejected","Total","Person","5,570"
"2003M07","Italy","Rejected","Total","Person",":"
"2003M07","Cyprus","Rejected","Total","Person",":"
"2003M07","Latvia","Rejected","Total","Person","0"
"2003M07","Lithuania","Rejected","Total","Person","0"
"2003M07","Luxembourg","Rejected","Total","Person",":"
"2003M07","Hungary","Rejected","Total","Person","120"
"2003M07","Malta","Rejected","Total","Person","35"
"2003M07","Netherlands","Rejected","Total","Person","975"
"2003M07","Austria","Rejected","Total","Person","525"
"2003M07","Poland","Rejected","Total","Person","285"
"2003M07","Portugal","Rejected","Total","Person","10"
"2003M07","Romania","Rejected","Total","Person",":"
"2003M07","Slovenia","Rejected","Total","Person","10"
"2003M07","Slovakia","Rejected","Total","Person","50"
"2003M07","Finland","Rejected","Total","Person","130"
"2003M07","Sweden","Rejected","Total","Person","1,700"
"2003M07","United Kingdom","Rejected","Total","Person","5,465"
"2003M07","Norway","Rejected","Total","Person","1,195"
"2003M08","Belgium","Rejected","Total","Person",":"
