"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2003M02","Norway","Geneva Convention status","Total","Person","30"
"2003M03","Belgium","Geneva Convention status","Total","Person",":"
"2003M03","Bulgaria","Geneva Convention status","Total","Person","0"
"2003M03","Czech Republic","Geneva Convention status","Total","Person","5"
"2003M03","Denmark","Geneva Convention status","Total","Person","85"
"2003M03","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","430"
"2003M03","Estonia","Geneva Convention status","Total","Person","0"
"2003M03","Ireland","Geneva Convention status","Total","Person","20"
"2003M03","Greece","Geneva Convention status","Total","Person","0"
"2003M03","Spain","Geneva Convention status","Total","Person","15"
"2003M03","France","Geneva Convention status","Total","Person","445"
"2003M03","Italy","Geneva Convention status","Total","Person",":"
"2003M03","Cyprus","Geneva Convention status","Total","Person",":"
"2003M03","Latvia","Geneva Convention status","Total","Person","0"
"2003M03","Lithuania","Geneva Convention status","Total","Person","0"
"2003M03","Luxembourg","Geneva Convention status","Total","Person",":"
"2003M03","Hungary","Geneva Convention status","Total","Person","10"
"2003M03","Malta","Geneva Convention status","Total","Person","5"
"2003M03","Netherlands","Geneva Convention status","Total","Person","15"
"2003M03","Austria","Geneva Convention status","Total","Person","115"
"2003M03","Poland","Geneva Convention status","Total","Person","15"
"2003M03","Portugal","Geneva Convention status","Total","Person","0"
"2003M03","Romania","Geneva Convention status","Total","Person",":"
"2003M03","Slovenia","Geneva Convention status","Total","Person","0"
"2003M03","Slovakia","Geneva Convention status","Total","Person","0"
"2003M03","Finland","Geneva Convention status","Total","Person","0"
"2003M03","Sweden","Geneva Convention status","Total","Person","45"
"2003M03","United Kingdom","Geneva Convention status","Total","Person","725"
"2003M03","Norway","Geneva Convention status","Total","Person","15"
"2003M04","Belgium","Geneva Convention status","Total","Person",":"
"2003M04","Bulgaria","Geneva Convention status","Total","Person","5"
"2003M04","Czech Republic","Geneva Convention status","Total","Person","15"
"2003M04","Denmark","Geneva Convention status","Total","Person","70"
"2003M04","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","235"
"2003M04","Estonia","Geneva Convention status","Total","Person","0"
"2003M04","Ireland","Geneva Convention status","Total","Person","35"
"2003M04","Greece","Geneva Convention status","Total","Person","0"
"2003M04","Spain","Geneva Convention status","Total","Person","25"
"2003M04","France","Geneva Convention status","Total","Person","595"
"2003M04","Italy","Geneva Convention status","Total","Person",":"
"2003M04","Cyprus","Geneva Convention status","Total","Person",":"
"2003M04","Latvia","Geneva Convention status","Total","Person","0"
"2003M04","Lithuania","Geneva Convention status","Total","Person","0"
"2003M04","Luxembourg","Geneva Convention status","Total","Person",":"
"2003M04","Hungary","Geneva Convention status","Total","Person","20"
"2003M04","Malta","Geneva Convention status","Total","Person","5"
"2003M04","Netherlands","Geneva Convention status","Total","Person","25"
"2003M04","Austria","Geneva Convention status","Total","Person","125"
"2003M04","Poland","Geneva Convention status","Total","Person","25"
"2003M04","Portugal","Geneva Convention status","Total","Person","0"
"2003M04","Romania","Geneva Convention status","Total","Person",":"
"2003M04","Slovenia","Geneva Convention status","Total","Person","5"
"2003M04","Slovakia","Geneva Convention status","Total","Person","0"
"2003M04","Finland","Geneva Convention status","Total","Person","0"
"2003M04","Sweden","Geneva Convention status","Total","Person","40"
"2003M04","United Kingdom","Geneva Convention status","Total","Person","390"
"2003M04","Norway","Geneva Convention status","Total","Person","65"
"2003M05","Belgium","Geneva Convention status","Total","Person",":"
"2003M05","Bulgaria","Geneva Convention status","Total","Person","0"
"2003M05","Czech Republic","Geneva Convention status","Total","Person","15"
"2003M05","Denmark","Geneva Convention status","Total","Person","50"
"2003M05","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","280"
"2003M05","Estonia","Geneva Convention status","Total","Person","0"
"2003M05","Ireland","Geneva Convention status","Total","Person","30"
"2003M05","Greece","Geneva Convention status","Total","Person","0"
"2003M05","Spain","Geneva Convention status","Total","Person","30"
"2003M05","France","Geneva Convention status","Total","Person","555"
"2003M05","Italy","Geneva Convention status","Total","Person",":"
"2003M05","Cyprus","Geneva Convention status","Total","Person",":"
"2003M05","Latvia","Geneva Convention status","Total","Person","0"
"2003M05","Lithuania","Geneva Convention status","Total","Person","0"
"2003M05","Luxembourg","Geneva Convention status","Total","Person",":"
"2003M05","Hungary","Geneva Convention status","Total","Person","10"
"2003M05","Malta","Geneva Convention status","Total","Person","5"
"2003M05","Netherlands","Geneva Convention status","Total","Person","25"
"2003M05","Austria","Geneva Convention status","Total","Person","105"
